,PV474290_Ommatogammarus_albinus_isolate_BK_14_Oa_1000m_,PV474291_Ommatogammarus_albinus_isolate_BK_15_Oa_650m_,PV474293_Ommatogammarus_albinus_isolate_BK_22_Oa_1000m_,PV474347_Ommatogammarus_flavus_isolate_BK_10_Of_650m_,PV474370_Ommatogammarus_flavus_isolate_BK_43_Of_250m_,PV474367_Ommatogammarus_flavus_isolate_BK_3_Of_250m_,PV474360_Ommatogammarus_flavus_isolate_BK_28_Of_100m_,PV474361_Ommatogammarus_flavus_isolate_BK_29_Of_25m_,PV474349_Ommatogammarus_flavus_isolate_BK_12_Of_100m_,PV474368_Ommatogammarus_flavus_isolate_BK_41_Of_1000m_,PV474364_Ommatogammarus_flavus_isolate_BK_33_Of_1000m_,PV474353_Ommatogammarus_flavus_isolate_BK_19_Of_250m_,PV474357_Ommatogammarus_flavus_isolate_BK_25_Of_1000m_,PV474355_Ommatogammarus_flavus_isolate_BK_20_Of_100m_,PV474356_Ommatogammarus_flavus_isolate_BK_21_Of_25m_,PV474372_Ommatogammarus_flavus_isolate_BK_4_Of_100m_,PV474348_Ommatogammarus_flavus_isolate_BK_11_Of_250m_,PV474350_Ommatogammarus_flavus_isolate_BK_13_Of_25m_,PV474359_Ommatogammarus_flavus_isolate_BK_27_Of_250m_,PV474366_Ommatogammarus_flavus_isolate_BK_35_Of_25m_,PV474371_Ommatogammarus_flavus_isolate_BK_44_Of_100m_,PV474365_Ommatogammarus_flavus_isolate_BK_34_Of_1000m_,PV474354_Ommatogammarus_flavus_isolate_BK_1_Of_1000m_,PV474358_Ommatogammarus_flavus_isolate_BK_26_Of_650m_,PV474351_Ommatogammarus_flavus_isolate_BK_17_Of_1000m_,PV474363_Ommatogammarus_flavus_isolate_BK_31_Of_650m_,PV474352_Ommatogammarus_flavus_isolate_BK_18_Of_650m_,PV474362_Ommatogammarus_flavus_isolate_BK_2_Of_650m_,PV474369_Ommatogammarus_flavus_isolate_BK_42_31_Of_650m_,PZ495199_Pretiositus_amethystinus_isolate_Ocsp_21_1_,PZ495208_Pretiositus_amethystinus_isolate_Ocsp_21_10_,PZ495210_Pretiositus_amethystinus_isolate_Ocsp_21_12_,PZ495220_Pretiositus_amethystinus_isolate_Ocsp_23_1_,PZ495232_Pretiositus_amethystinus_isolate_Ocsp_23_14_,PZ495200_Pretiositus_amethystinus_isolate_Ocsp_21_2_,PZ495201_Pretiositus_amethystinus_isolate_Ocsp_21_3_,PZ495204_Pretiositus_amethystinus_isolate_Ocsp_21_6_,PZ495214_Pretiositus_amethystinus_isolate_Ocsp_21_16_,PZ495202_Pretiositus_amethystinus_isolate_Ocsp_21_4_,PZ495207_Pretiositus_amethystinus_isolate_Ocsp_21_9_,PZ495215_Pretiositus_amethystinus_isolate_Ocsp_21_17_,PZ495203_Pretiositus_amethystinus_isolate_Ocsp_21_5_,PZ495224_Pretiositus_amethystinus_isolate_Ocsp_23_5_,PZ495209_Pretiositus_amethystinus_isolate_Ocsp_21_11_,PZ495221_Pretiositus_amethystinus_isolate_Ocsp_23_2_,PZ495223_Pretiositus_amethystinus_isolate_Ocsp_23_4_,PZ495216_Pretiositus_amethystinus_isolate_Ocsp_21_18_,PZ495213_Pretiositus_amethystinus_isolate_Ocsp_21_15_,PZ495212_Pretiositus_amethystinus_isolate_Ocsp_21_14_,PZ495211_Pretiositus_amethystinus_isolate_Ocsp_21_13_,PZ495205_Pretiositus_amethystinus_isolate_Ocsp_21_7_,PZ495230_Pretiositus_amethystinus_isolate_Ocsp_23_12_,PZ495226_Pretiositus_amethystinus_isolate_Ocsp_23_7_,PZ495231_Pretiositus_amethystinus_isolate_Ocsp_23_13_,PZ495217_Pretiositus_amethystinus_isolate_Ocsp_21_19_,PZ495206_Pretiositus_amethystinus_isolate_Ocsp_21_8_,PZ495227_Pretiositus_amethystinus_isolate_Ocsp_23_9_,PZ495225_Pretiositus_amethystinus_isolate_Ocsp_23_6_,PZ495218_Pretiositus_melanophthalmus_isolate_Ome_21_35_,PZ495239_Pretiositus_melanophthalmus_isolate_Ome_25_8_,PZ495219_Pretiositus_melanophthalmus_isolate_Ome_21_36_,PZ495238_Pretiositus_melanophthalmus_isolate_Ome_25_7_,PZ495235_Pretiositus_melanophthalmus_isolate_Ome_25_3_,PZ495242_Pretiositus_melanophthalmus_isolate_Ome_25_13_,PZ495228_Pretiositus_melanophthalmus_isolate_Ome_23_10_,PZ495234_Pretiositus_melanophthalmus_isolate_Ome_25_2_,PZ495241_Pretiositus_melanophthalmus_isolate_Ome_25_11_,PZ495233_Pretiositus_melanophthalmus_isolate_Ome_25_1_,PZ495222_Pretiositus_melanophthalmus_isolate_Ome_23_3_,PZ495229_Pretiositus_melanophthalmus_isolate_Ome_23_11_,PZ495236_Pretiositus_melanophthalmus_isolate_Ome_25_4_,PZ495237_Pretiositus_melanophthalmus_isolate_Ome_25_5_,PZ495240_Pretiositus_melanophthalmus_isolate_Ome_25_9_,PZ495243_Pretiositus_melanophthalmus_isolate_Ohy_25_,PV474301_Ommatogammarus_albinus_isolate_BK_39_Oa_100m_,PV474308_Ommatogammarus_albinus_isolate_BK_7_Oa_650m_,PV474307_Ommatogammarus_albinus_isolate_BK_6_Oa_1000m_,PV474300_Ommatogammarus_albinus_isolate_BK_38_Oa_100m_,PV474299_Ommatogammarus_albinus_isolate_BK_37_Oa_100m_,PV474303_Ommatogammarus_albinus_isolate_BK_45_Oa_1000m_,PV474295_Ommatogammarus_albinus_isolate_BK_24_Oa_250m_,PV474306_Ommatogammarus_albinus_isolate_BK_48_Oa_100m_,PV474304_Ommatogammarus_albinus_isolate_BK_46_Oa_650m_,PV474298_Ommatogammarus_albinus_isolate_BK_36_Oa_1000m_,PV474302_Ommatogammarus_albinus_isolate_BK_40_Oa_100m_,PV474296_Ommatogammarus_albinus_isolate_BK_30_Oa_1000m_,PV474294_Ommatogammarus_albinus_isolate_BK_23_Oa_650m_,PV474292_Ommatogammarus_albinus_isolate_BK_16_Oa_250m_,PV474305_Ommatogammarus_albinus_isolate_BK_47_Oa_250m_,PV474297_Ommatogammarus_albinus_isolate_BK_32_Oa_250m_
PV474364_Ommatogammarus_flavus_isolate_BK_33_Of_1000m_,0.2419126299,0.2419126299,0.2440947544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0000020,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0000060074,0.0021263316,0.0021274102,0.0021266350,0.2445393448,0.2466690267,0.2487396478,0.2466568750,0.2531349775,0.2445475632,0.2508499522,0.2466418884,0.2466418884,0.2531658805,0.2531658805,0.2573478854,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2530778768,0.2510203362,0.2424496883,0.2424486883,0.2445436393,0.2445363405,0.2403557249,0.2190233471,0.2190212245,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2190153141,0.2190182691,0.2190170890,0.2169881791,0.2129149853,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,
PV474353_Ommatogammarus_flavus_isolate_BK_19_Of_250m_,0.2419126299,0.2419126299,0.2440947544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0000020,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0000060074,0.0021263316,0.0021274102,0.0021266350,0.2445393448,0.2466690267,0.2487396478,0.2466568750,0.2531349775,0.2445475632,0.2508499522,0.2466418884,0.2466418884,0.2531658805,0.2531658805,0.2573478854,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2530778768,0.2510203362,0.2424496883,0.2424486883,0.2445436393,0.2445363405,0.2403557249,0.2190233471,0.2190212245,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2190153141,0.2190182691,0.2190170890,0.2169881791,0.2129149853,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,
PV474357_Ommatogammarus_flavus_isolate_BK_25_Of_1000m_,0.2419126299,0.2419126299,0.2440947544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0000020,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0000060074,0.0021263316,0.0021274102,0.0021266350,0.2445393448,0.2466690267,0.2487396478,0.2466568750,0.2531349775,0.2445475632,0.2508499522,0.2466418884,0.2466418884,0.2531658805,0.2531658805,0.2573478854,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2530778768,0.2510203362,0.2424496883,0.2424486883,0.2445436393,0.2445363405,0.2403557249,0.2190233471,0.2190212245,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2190153141,0.2190182691,0.2190170890,0.2169881791,0.2129149853,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,
PV474355_Ommatogammarus_flavus_isolate_BK_20_Of_100m_,0.2419126299,0.2419126299,0.2440947544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0000020,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0000060074,0.0021263316,0.0021274102,0.0021266350,0.2445393448,0.2466690267,0.2487396478,0.2466568750,0.2531349775,0.2445475632,0.2508499522,0.2466418884,0.2466418884,0.2531658805,0.2531658805,0.2573478854,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2530778768,0.2510203362,0.2424496883,0.2424486883,0.2445436393,0.2445363405,0.2403557249,0.2190233471,0.2190212245,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2190153141,0.2190182691,0.2190170890,0.2169881791,0.2129149853,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,
PV474356_Ommatogammarus_flavus_isolate_BK_21_Of_25m_,0.2419126299,0.2419126299,0.2440947544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0000020,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0000060074,0.0021263316,0.0021274102,0.0021266350,0.2445393448,0.2466690267,0.2487396478,0.2466568750,0.2531349775,0.2445475632,0.2508499522,0.2466418884,0.2466418884,0.2531658805,0.2531658805,0.2573478854,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2530778768,0.2510203362,0.2424496883,0.2424486883,0.2445436393,0.2445363405,0.2403557249,0.2190233471,0.2190212245,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2190153141,0.2190182691,0.2190170890,0.2169881791,0.2129149853,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,
PV474372_Ommatogammarus_flavus_isolate_BK_4_Of_100m_,0.2419126299,0.2419126299,0.2440947544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0000020,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0000060074,0.0021263316,0.0021274102,0.0021266350,0.2445393448,0.2466690267,0.2487396478,0.2466568750,0.2531349775,0.2445475632,0.2508499522,0.2466418884,0.2466418884,0.2531658805,0.2531658805,0.2573478854,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2530778768,0.2510203362,0.2424496883,0.2424486883,0.2445436393,0.2445363405,0.2403557249,0.2190233471,0.2190212245,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2190153141,0.2190182691,0.2190170890,0.2169881791,0.2129149853,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,
PV474348_Ommatogammarus_flavus_isolate_BK_11_Of_250m_,0.2419126299,0.2419126299,0.2440947544,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0000060074,0.0021263316,0.0021274102,0.0021266350,0.2445393448,0.2466690267,0.2487396478,0.2466568750,0.2531349775,0.2445475632,0.2508499522,0.2466418884,0.2466418884,0.2531658805,0.2531658805,0.2573478854,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2509830774,0.2530778768,0.2510203362,0.2424496883,0.2424486883,0.2445436393,0.2445363405,0.2403557249,0.2190233471,0.2190212245,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2169947249,0.2190153141,0.2190182691,0.2190170890,0.2169881791,0.2129149853,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,0.2419126299,
PV474350_Ommatogammarus_flavus_isolate_BK_13_Of_25m_,0.2440344996,0.2440344996,0.2462166241,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0000020,0.0021218623,0.0042462013,0.0042492799,0.0042485047,0.2466612145,0.2487908964,0.2508615175,0.2487787447,0.2552568472,0.2466694329,0.2529718219,0.2487637581,0.2487637581,0.2552877502,0.2552877502,0.2594697551,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2551997465,0.2531422059,0.2445715580,0.2445705580,0.2466655090,0.2466582102,0.2424775946,0.2211452168,0.2211430942,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2211371838,0.2211401388,0.2211389587,0.2191100488,0.2150368550,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,
PV474359_Ommatogammarus_flavus_isolate_BK_27_Of_250m_,0.2440344996,0.2440344996,0.2462166241,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0000020,0.0021218623,0.0042462013,0.0042492799,0.0042485047,0.2466612145,0.2487908964,0.2508615175,0.2487787447,0.2552568472,0.2466694329,0.2529718219,0.2487637581,0.2487637581,0.2552877502,0.2552877502,0.2594697551,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2551997465,0.2531422059,0.2445715580,0.2445705580,0.2466655090,0.2466582102,0.2424775946,0.2211452168,0.2211430942,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2211371838,0.2211401388,0.2211389587,0.2191100488,0.2150368550,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,
PV474366_Ommatogammarus_flavus_isolate_BK_35_Of_25m_,0.2440344996,0.2440344996,0.2462166241,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0000020,0.0021218623,0.0042462013,0.0042492799,0.0042485047,0.2466612145,0.2487908964,0.2508615175,0.2487787447,0.2552568472,0.2466694329,0.2529718219,0.2487637581,0.2487637581,0.2552877502,0.2552877502,0.2594697551,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2551997465,0.2531422059,0.2445715580,0.2445705580,0.2466655090,0.2466582102,0.2424775946,0.2211452168,0.2211430942,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2211371838,0.2211401388,0.2211389587,0.2191100488,0.2150368550,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,
PV474371_Ommatogammarus_flavus_isolate_BK_44_Of_100m_,0.2440344996,0.2440344996,0.2462166241,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0000020,0.0021218623,0.0042462013,0.0042492799,0.0042485047,0.2466612145,0.2487908964,0.2508615175,0.2487787447,0.2552568472,0.2466694329,0.2529718219,0.2487637581,0.2487637581,0.2552877502,0.2552877502,0.2594697551,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2551997465,0.2531422059,0.2445715580,0.2445705580,0.2466655090,0.2466582102,0.2424775946,0.2211452168,0.2211430942,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2211371838,0.2211401388,0.2211389587,0.2191100488,0.2150368550,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,
PV474365_Ommatogammarus_flavus_isolate_BK_34_Of_1000m_,0.2440344996,0.2440344996,0.2462166241,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0000020,0.0021218623,0.0042462013,0.0042492799,0.0042485047,0.2466612145,0.2487908964,0.2508615175,0.2487787447,0.2552568472,0.2466694329,0.2529718219,0.2487637581,0.2487637581,0.2552877502,0.2552877502,0.2594697551,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2551997465,0.2531422059,0.2445715580,0.2445705580,0.2466655090,0.2466582102,0.2424775946,0.2211452168,0.2211430942,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2211371838,0.2211401388,0.2211389587,0.2191100488,0.2150368550,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,
PV474354_Ommatogammarus_flavus_isolate_BK_1_Of_1000m_,0.2440344996,0.2440344996,0.2462166241,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0000020,0.0021218623,0.0042462013,0.0042492799,0.0042485047,0.2466612145,0.2487908964,0.2508615175,0.2487787447,0.2552568472,0.2466694329,0.2529718219,0.2487637581,0.2487637581,0.2552877502,0.2552877502,0.2594697551,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2551997465,0.2531422059,0.2445715580,0.2445705580,0.2466655090,0.2466582102,0.2424775946,0.2211452168,0.2211430942,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2211371838,0.2211401388,0.2211389587,0.2191100488,0.2150368550,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,
PV474358_Ommatogammarus_flavus_isolate_BK_26_Of_650m_,0.2440344996,0.2440344996,0.2462166241,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0000020,0.0021218623,0.0042462013,0.0042492799,0.0042485047,0.2466612145,0.2487908964,0.2508615175,0.2487787447,0.2552568472,0.2466694329,0.2529718219,0.2487637581,0.2487637581,0.2552877502,0.2552877502,0.2594697551,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2551997465,0.2531422059,0.2445715580,0.2445705580,0.2466655090,0.2466582102,0.2424775946,0.2211452168,0.2211430942,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2211371838,0.2211401388,0.2211389587,0.2191100488,0.2150368550,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,
PV474351_Ommatogammarus_flavus_isolate_BK_17_Of_1000m_,0.2440344996,0.2440344996,0.2462166241,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0021258697,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0.0000020,0,0.0021218623,0.0042462013,0.0042492799,0.0042485047,0.2466612145,0.2487908964,0.2508615175,0.2487787447,0.2552568472,0.2466694329,0.2529718219,0.2487637581,0.2487637581,0.2552877502,0.2552877502,0.2594697551,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2531049471,0.2551997465,0.2531422059,0.2445715580,0.2445705580,0.2466655090,0.2466582102,0.2424775946,0.2211452168,0.2211430942,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2191165946,0.2211371838,0.2211401388,0.2211389587,0.2191100488,0.2150368550,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,0.2440344996,
PV474363_Ommatogammarus_flavus_isolate_BK_31_Of_650m_,0.2419146373,0.2419146373,0.2440967618,0.0000060074,0.0000060074,0.0000060074,0.0000060074,0.0000060074,0.0000060074,0.0000060074,0.0000060074,0.0000060074,0.0000060074,0.0000060074,0.0000060074,0.0000060074,0.0000060074,0.0021218623,0.0021218623,0.0021218623,0.0021218623,0.0021218623,0.0021218623,0.0021218623,0.0021218623,0,0.0021263390,0.0021294176,0.0021286424,0.2445413522,0.2466710341,0.2487416552,0.2466588824,0.2531369849,0.2445495706,0.2508519596,0.2466438958,0.2466438958,0.2531678879,0.2531678879,0.2573498928,0.2509850848,0.2509850848,0.2509850848,0.2509850848,0.2509850848,0.2509850848,0.2509850848,0.2509850848,0.2509850848,0.2509850848,0.2530798842,0.2510223436,0.2424516957,0.2424506957,0.2445456467,0.2445383479,0.2403577323,0.2190253545,0.2190232319,0.2169967323,0.2169967323,0.2169967323,0.2169967323,0.2169967323,0.2169967323,0.2169967323,0.2169967323,0.2169967323,0.2190173215,0.2190202765,0.2190190964,0.2169901865,0.2129169927,0.2419146373,0.2419146373,0.2419146373,0.2419146373,0.2419146373,0.2419146373,0.2419146373,0.2419146373,0.2419146373,0.2419146373,0.2419146373,0.2419146373,0.2419146373,0.2419146373,0.2419146373,0.2419146373,
PV474352_Ommatogammarus_flavus_isolate_BK_18_Of_650m_,0.2440349615,0.2440349615,0.2462170860,0.0021263316,0.0021263316,0.0021263316,0.0021263316,0.0021263316,0.0021263316,0.0021263316,0.0021263316,0.0021263316,0.0021263316,0.0021263316,0.0021263316,0.0021263316,0.0021263316,0.0042462013,0.0042462013,0.0042462013,0.0042462013,0.0042462013,0.0042462013,0.0042462013,0.0042462013,0.0021263390,0,0.0042497418,0.0042489666,0.2466616764,0.2487913583,0.2508619794,0.2487792066,0.2552573091,0.2466698948,0.2529722838,0.2487642200,0.2487642200,0.2552882121,0.2552882121,0.2594702170,0.2531054090,0.2531054090,0.2531054090,0.2531054090,0.2531054090,0.2531054090,0.2531054090,0.2531054090,0.2531054090,0.2531054090,0.2552002084,0.2531426678,0.2445720199,0.2445710199,0.2466659709,0.2466586721,0.2424780565,0.2211456787,0.2211435561,0.2191170565,0.2191170565,0.2191170565,0.2191170565,0.2191170565,0.2191170565,0.2191170565,0.2191170565,0.2191170565,0.2211376457,0.2211406007,0.2211394206,0.2191105107,0.2150373169,0.2440349615,0.2440349615,0.2440349615,0.2440349615,0.2440349615,0.2440349615,0.2440349615,0.2440349615,0.2440349615,0.2440349615,0.2440349615,0.2440349615,0.2440349615,0.2440349615,0.2440349615,0.2440349615,
